"","Sample Size","umax","Event Rate","x1","x2","x3","Missing","Method","Setting"
"1","100","1","0.3","0.919","0.92","0.908","0","CRR","N=100, umax=1, p=0.3"
"2","100","1","0.3","0.932","0.945","0.936","0","Firth","N=100, umax=1, p=0.3"
"3","100","1","0.5","0.932","0.928","0.94","0","CRR","N=100, umax=1, p=0.5"
"4","100","1","0.5","0.95","0.95","0.957","0","Firth","N=100, umax=1, p=0.5"
"5","100","0.25","0.3","0.836","0.84","0.841","4","CRR","N=100, umax=0.25, p=0.3"
"6","100","0.25","0.3","0.946","0.952","0.947","24","Firth","N=100, umax=0.25, p=0.3"
"7","100","0.25","0.5","0.891","0.883","0.889","0","CRR","N=100, umax=0.25, p=0.5"
"8","100","0.25","0.5","0.945","0.941","0.933","1","Firth","N=100, umax=0.25, p=0.5"
"9","100","0.55","0.3","0.903","0.904","0.897","0","CRR","N=100, umax=0.55, p=0.3"
"10","100","0.55","0.3","0.952","0.944","0.934","0","Firth","N=100, umax=0.55, p=0.3"
"11","100","0.55","0.5","0.907","0.925","0.942","0","CRR","N=100, umax=0.55, p=0.5"
"12","100","0.55","0.5","0.944","0.946","0.957","0","Firth","N=100, umax=0.55, p=0.5"
"13","200","1","0.3","0.941","0.934","0.945","0","CRR","N=200, umax=1, p=0.3"
"14","200","1","0.3","0.952","0.942","0.959","0","Firth","N=200, umax=1, p=0.3"
"15","200","1","0.5","0.948","0.939","0.932","0","CRR","N=200, umax=1, p=0.5"
"16","200","1","0.5","0.954","0.949","0.937","0","Firth","N=200, umax=1, p=0.5"
"17","200","0.25","0.3","0.913","0.896","0.915","0","CRR","N=200, umax=0.25, p=0.3"
"18","200","0.25","0.3","0.945","0.933","0.945","0","Firth","N=200, umax=0.25, p=0.3"
"19","200","0.25","0.5","0.911","0.919","0.926","0","CRR","N=200, umax=0.25, p=0.5"
"20","200","0.25","0.5","0.937","0.933","0.952","0","Firth","N=200, umax=0.25, p=0.5"
"21","200","0.55","0.3","0.93","0.935","0.925","0","CRR","N=200, umax=0.55, p=0.3"
"22","200","0.55","0.3","0.946","0.94","0.945","0","Firth","N=200, umax=0.55, p=0.3"
"23","200","0.55","0.5","0.945","0.93","0.934","0","CRR","N=200, umax=0.55, p=0.5"
"24","200","0.55","0.5","0.951","0.949","0.947","0","Firth","N=200, umax=0.55, p=0.5"
"25","50","1","0.3","0.864","0.868","0.868","1","CRR","N=50, umax=1, p=0.3"
"26","50","1","0.3","0.942","0.937","0.938","5","Firth","N=50, umax=1, p=0.3"
"27","50","1","0.5","0.897","0.883","0.916","0","CRR","N=50, umax=1, p=0.5"
"28","50","1","0.5","0.942","0.925","0.955","0","Firth","N=50, umax=1, p=0.5"
"29","50","0.25","0.3","0.646","0.641","0.658","77","CRR","N=50, umax=0.25, p=0.3"
"30","50","0.25","0.3","0.962","0.961","0.965","285","Firth","N=50, umax=0.25, p=0.3"
"31","50","0.25","0.5","0.768","0.781","0.774","21","CRR","N=50, umax=0.25, p=0.5"
"32","50","0.25","0.5","0.954","0.951","0.94","95","Firth","N=50, umax=0.25, p=0.5"
"33","50","0.55","0.3","0.825","0.827","0.836","3","CRR","N=50, umax=0.55, p=0.3"
"34","50","0.55","0.3","0.945","0.932","0.953","41","Firth","N=50, umax=0.55, p=0.3"
"35","50","0.55","0.5","0.879","0.869","0.891","0","CRR","N=50, umax=0.55, p=0.5"
"36","50","0.55","0.5","0.939","0.929","0.956","8","Firth","N=50, umax=0.55, p=0.5"
