"","Sample Size","umax","Event Rate","x1.crr","x1.firth","x2.crr","x2.firth","x3.crr","x3.firth","Missing.crr","Missing.Firth"
"1","100","1","0.3","0.024 (0.097)","0.012 (0.09)","0.043 (0.105)","0.024 (0.096)","-0.049 (0.116)","-0.024 (0.104)","0","0"
"2","100","1","0.5","0.017 (0.06)","0.01 (0.058)","0.038 (0.059)","0.028 (0.056)","-0.037 (0.064)","-0.023 (0.06)","0","0"
"3","100","0.25","0.3","0.219 (3.068)","0.027 (0.297)","0.179 (3.225)","0.035 (0.307)","-0.423 (18.379)","-0.046 (0.33)","12","72"
"4","100","0.25","0.5","0.055 (0.239)","0.028 (0.188)","0.116 (0.451)","0.057 (0.189)","-0.111 (0.282)","-0.048 (0.197)","0","3"
"5","100","0.55","0.3","0.04 (0.173)","0.019 (0.151)","0.066 (0.187)","0.034 (0.159)","-0.089 (0.209)","-0.045 (0.169)","0","0"
"6","100","0.55","0.5","0.022 (0.097)","0.01 (0.091)","0.05 (0.092)","0.033 (0.084)","-0.051 (0.099)","-0.028 (0.089)","0","0"
"7","200","1","0.3","0.014 (0.038)","0.011 (0.037)","0.02 (0.044)","0.014 (0.042)","-0.024 (0.042)","-0.017 (0.041)","0","0"
"8","200","1","0.5","0.023 (0.024)","0.021 (0.024)","0.02 (0.027)","0.016 (0.027)","-0.032 (0.031)","-0.027 (0.03)","0","0"
"9","200","0.25","0.3","0.046 (0.142)","0.032 (0.127)","0.043 (0.15)","0.022 (0.134)","-0.046 (0.146)","-0.019 (0.126)","0","0"
"10","200","0.25","0.5","0.027 (0.074)","0.02 (0.071)","0.022 (0.08)","0.012 (0.076)","-0.036 (0.083)","-0.022 (0.078)","0","0"
"11","200","0.55","0.3","0.004 (0.059)","-0.002 (0.057)","0.013 (0.06)","0.004 (0.058)","-0.036 (0.071)","-0.025 (0.067)","0","0"
"12","200","0.55","0.5","0.005 (0.036)","0.002 (0.035)","0.028 (0.04)","0.023 (0.038)","-0.015 (0.041)","-0.009 (0.04)","0","0"
"13","50","1","0.3","0.154 (1.511)","0.052 (0.25)","0.171 (2.136)","0.038 (0.286)","-0.28 (3.898)","-0.081 (0.305)","3","15"
"14","50","1","0.5","0.074 (0.175)","0.044 (0.146)","0.103 (0.213)","0.061 (0.175)","-0.115 (0.213)","-0.06 (0.168)","0","0"
"15","50","0.25","0.3","1.225 (81.375)","-0.003 (0.488)","2.077 (121.422)","-0.043 (0.52)","-2.525 (127.926)","0.015 (0.55)","231","855"
"16","50","0.25","0.5","0.609 (27.951)","0.004 (0.386)","0.707 (33.854)","0.016 (0.438)","-1.259 (43.239)","-0.011 (0.509)","63","285"
"17","50","0.55","0.3","0.454 (17.561)","0.028 (0.405)","0.555 (42.194)","-0.017 (0.392)","-1.005 (51.859)","-0.023 (0.366)","9","123"
"18","50","0.55","0.5","0.167 (1.999)","0.047 (0.28)","0.271 (5.318)","0.043 (0.283)","-0.278 (2.603)","-0.07 (0.257)","0","24"
